# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31439
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=198 d=1.40275 t=31439
quan ju 	全局	c=2 d=7.21399e-12 t=31439
quan kuan 	全款	c=1 d=4.23451e-09 t=31439
quan li 	權利	c=1 d=1.90204e-05 t=31439
quan ma 	全碼	c=1 d=7.0249e-23 t=31439
quan mian 	全面	c=1 d=1 t=28201
quan mian ping 	全面屏	c=1 d=1 t=31170
quan neng 	全能	c=1 d=8.00284e-27 t=31439
quan shi jie 	全世界	c=1 d=1.31175e-16 t=31439
quan tao 	拳套	c=1 d=2.7967e-11 t=31439
quan wu 	全無	c=1 d=1.13057e-32 t=31439
quan xian 	全線	c=1 d=8.67382e-33 t=31439
quan xian 	權限	c=11 d=4.85779e-06 t=31439
quan xuan 	全選	c=1 d=4.23377e-07 t=31439
quan zhou 	泉州	c=1 d=3.28083e-07 t=31439
que 	缺	c=1 d=1.69859e-27 t=31439
que ding 	確定	c=2 d=2.38195e-05 t=31439
que ren 	確認	c=36 d=0.728347 t=31439
que shao 	缺少	c=2 d=0.0137736 t=31439
que sheng zhi 	缺省值	c=1 d=3.08976e-07 t=31439
que shi 	確實	c=4 d=0.0175157 t=31439
que shi 	缺失	c=1 d=1 t=28102
que xian 	缺陷	c=4 d=9.15123e-10 t=31439
qun 	羣	c=10 d=0.0160236 t=31439
qun li mian 	羣裏面	c=2 d=4.07899e-10 t=31439
qun liao 	羣聊	c=1 d=7.5916e-24 t=31439
qun zhong 	羣衆	c=1 d=0.00151855 t=31439
ran 	染	c=1 d=0.000109455 t=31439
ran er 	然而	c=15 d=0.000765486 t=31439
ran hou 	然後	c=66 d=1.56811 t=31439
rang 	讓	c=17 d=0.70645 t=31439
rang hou 	讓後	c=1 d=2.1939e-08 t=31439
rang ni 	讓你	c=2 d=9.12036e-06 t=31439
rang ren 	讓人	c=1 d=1.97656e-16 t=31439
rang ta 	讓她	c=3 d=2.38358e-13 t=31439
rang wo 	讓我	c=7 d=0.0250972 t=31439
re 	惹	c=1 d=8.31387e-05 t=31439
re 	熱	c=4 d=0.00195971 t=31439
re ai 	熱愛	c=0 d=3.04419e-39 t=31439
re dian 	熱點	c=5 d=0.00033379 t=31439
re shui 	熱水	c=1 d=1.96056e-38 t=31439
re shui qi 	熱水器	c=2 d=2.11431e-05 t=31439
ren 	人	c=95 d=2.00459 t=31439
ren 	刃	c=1 d=4.17288e-13 t=31439
ren 	忍	c=1 d=4.37401e-08 t=31439
ren cai 	人才	c=2 d=1.53538e-15 t=31439
ren duo 	人多	c=1 d=1 t=29816
ren gong 	人工	c=3 d=3.59908e-08 t=31439
ren hai 	人海	c=1 d=1 t=30885
ren he 	任何	c=4 d=0.00106477 t=31439
ren hong 	人紅	c=1 d=2.7541e-07 t=31439
ren hou 	人後	c=1 d=1.58079e-05 t=31439
ren kou 	人口	c=1 d=6.17483e-35 t=31439
ren lei 	人類	c=1 d=5.81541e-06 t=31439
ren li 	人力	c=1 d=4.27852e-13 t=31439
ren pin 	人品	c=1 d=6.0369e-34 t=31439
ren ren 	人人	c=3 d=1.00002 t=31380
ren sheng 	人生	c=1 d=3.06215e-19 t=31439
ren shi 	人事	c=5 d=0.0162445 t=31439
ren shi 	認識	c=2 d=0.00624146 t=31439
ren shu 	人數	c=38 d=0.0998992 t=31439
ren tou 	人頭	c=1 d=6.11776e-14 t=31439
ren wei 	認爲	c=1 d=2.94668e-08 t=31439
ren wu 	任務	c=59 d=0.0722131 t=31439
ren wu lan 	任務欄	c=2 d=3.46956e-07 t=31439
ren xing 	人性	c=1 d=4.16921e-32 t=31439
ren yi 	任意	c=3 d=1.84614e-07 t=31439
ren zhen 	認真	c=1 d=1 t=29191
ren zheng 	認證	c=8 d=1.97625 t=31439
reng ran 	仍然	c=1 d=4.98971e-28 t=31439
reng wei 	仍未	c=1 d=1.11185e-12 t=31439
ri 	日	c=17 d=1.11397e-05 t=31439
ri ben 	日本	c=1 d=1 t=29210
ri chang 	日常	c=3 d=0.261846 t=31439
ri ji 	日記	c=2 d=8.5287e-11 t=31439
ri ju 	日劇	c=1 d=8.19148e-07 t=31439
ri qi 	日期	c=28 d=0.857492 t=31439
ri zhi 	日誌	c=14 d=0.000877039 t=31439
ri zi 	日子	c=1 d=7.32799e-20 t=31439
rong cuo 	容錯	c=1 d=8.75355e-23 t=31439
rong he 	融合	c=1 d=5.94723e-05 t=31439
rong yi 	容易	c=4 d=4.26602e-08 t=31439
rong yun 	融雲	c=3 d=4.26311e-35 t=31439
rou 	肉	c=6 d=0.00960954 t=31439
rou pian 	肉片	c=1 d=1.6376e-38 t=31439
ru 	入	c=5 d=0.729789 t=31439
ru 	如	c=3 d=0.0249089 t=31439
ru 	汝	c=1 d=1 t=31354
ru chang 	入場	c=1 d=8.1393e-20 t=31439
ru er 	入耳	c=1 d=3.00458e-31 t=31439
ru guo 	如果	c=38 d=0.92536 t=31439
ru he 	如何	c=2 d=5.1325e-23 t=31439
ru jiao 	乳膠	c=0 d=0.000104891 t=31439
ru jiao zhen 	乳膠枕	c=1 d=0.00105417 t=31439
ru kou 	入口	c=1 d=1.32723e-07 t=31439
ru ku 	入庫	c=1 d=1.65811e-08 t=31439
ru men 	入門	c=2 d=1.38832e-07 t=31439
ru ruo 	如若	c=1 d=0.00141589 t=31439
ru shou 	入手	c=1 d=1 t=28381
ru xiao 	入学	c=1 d=0.506617 t=31439
ru yuan 	入院	c=1 d=3.21915e-19 t=31439
ru zhi 	入職	c=3 d=4.43111e-05 t=31439
ruan 	軟	c=12 d=1.09053e-25 t=31439
ruan 	阮	c=1 d=1.64923e-33 t=31439
ruan jian 	軟件	c=18 d=0.162001 t=31439
ruan jian yuan 	軟件園	c=10 d=0.0204478 t=31439
ruan mo ying pao 	軟磨硬泡	c=1 d=0.00197932 t=31439
rui zhi 	睿智	c=1 d=4.30889e-08 t=31439
sai 	塞	c=1 d=1 t=31280
sai 	賽	c=1 d=1 t=28987
san 	三	c=12 d=0.00103438 t=31439
san 	散	c=1 d=3.34824e-11 t=31439
san ci 	三次	c=2 d=0.00855498 t=31439
san ge 	三個	c=10 d=0.927808 t=31439
san ge ren 	三個人	c=1 d=1.1063e-12 t=31439
san ge yue 	三個月	c=1 d=2.5454e-21 t=31439
san guo 	三國	c=1 d=0.245367 t=31439
san qi 	三期	c=4 d=0.0205478 t=31439
san tian 	三天	c=2 d=1.72966e-05 t=31439
san xing 	三星	c=1 d=2.96962e-11 t=31439
sao 	騷	c=4 d=4.54076e-07 t=31439
sao huo 	騷貨	c=1 d=2.88039e-05 t=31439
se 	色	c=4 d=0.423162 t=31439
se qing 	色情	c=1 d=0.000987829 t=31439
sen lin 	森林	c=1 d=1 t=30312
sha 	傻	c=3 d=0.000528747 t=31439
sha 	啥	c=50 d=0.584081 t=31439
sha bi 	傻逼	c=1 d=1.80989e-09 t=31439
sha diao 	沙雕	c=1 d=0.0102549 t=31439
sha hai zi 	傻孩子	c=1 d=0.000858778 t=31439
sha ren 	殺人	c=1 d=1 t=29880
sha shi 	啥事	c=2 d=0.0581343 t=31439
sha shi hou 	啥時候	c=4 d=2.64517e-07 t=31439
sha yong 	啥用	c=1 d=5.00535e-06 t=31439
sha zi 	傻子	c=4 d=0.00154051 t=31439
sha zi 	沙子	c=5 d=3.35577e-08 t=31439
shai 	曬	c=1 d=1.33112e-12 t=31439
shai tai yang 	曬太陽	c=1 d=1 t=30309
shai xuan 	篩選	c=1 d=1.95991e-34 t=31439
shan 	刪	c=1 d=7.31927e-06 t=31439
shan 	山	c=5 d=0.00306062 t=31439
shan 	膳	c=2 d=7.28278e-06 t=31439
shan 	閃	c=1 d=1 t=31242
shan chu 	刪除	c=49 d=0.0112394 t=31439
shang 	上	c=55 d=0.339774 t=31439
shang 	傷	c=1 d=8.35527e-34 t=31439
shang 	裳	c=1 d=8.4206e-08 t=31439
shang ban 	上班	c=22 d=1.00256 t=31439
shang bian 	上邊	c=2 d=9.86118e-13 t=31439
shang cai 	上菜	c=1 d=8.78394e-05 t=31439
shang che 	上車	c=1 d=2.9773e-12 t=31439
shang cheng 	商城	c=1 d=1.24176e-18 t=31439
shang chuan 	上傳	c=34 d=6.8092e-07 t=31439
shang ci 	上次	c=4 d=8.06817e-05 t=31439
shang di 	上帝	c=1 d=1 t=28863
shang ge 	上個	c=3 d=0.0135009 t=31439
shang hai 	上海	c=2 d=0.0222592 t=31439
shang hu 	商戶	c=2 d=9.56697e-05 t=31439
shang ji 	上級	c=11 d=0.000135644 t=31439
shang jia 	上家	c=1 d=9.76806e-19 t=31439
shang kou 	傷口	c=1 d=1 t=30195
shang lai 	上來	c=1 d=5.38584e-15 t=31439
shang mian 	上面	c=13 d=0.798516 t=31439
shang pin 	商品	c=3 d=6.8981e-05 t=31439
shang ping 	上屏	c=1 d=9.20231e-23 t=31439
shang qu 	上去	c=6 d=0.0517482 t=31439
shang tian 	上天	c=1 d=8.51248e-18 t=31439
shang wang 	上網	c=1 d=0.0202419 t=31439
shang wei 	尚未	c=1 d=6.78323e-23 t=31439
shang xia ji 	上下級	c=1 d=4.87001e-07 t=31439
shang xian 	上線	c=6 d=0.0015153 t=31439
shang xian 	上限	c=2 d=2.19949e-34 t=31439
shang xue 	上學	c=1 d=0.479505 t=31439
shang yi 	上衣	c=2 d=1.64665e-07 t=31439
shang yi ci 	上一次	c=1 d=1.08421e-10 t=31439
shang yi ye 	上一頁	c=1 d=4.95372e-31 t=31439
shang zhou 	上週	c=8 d=1.95996e-05 t=31439
shao 	少	c=17 d=0.066888 t=31439
shao hou 	稍後	c=1 d=1.27428e-28 t=31439
shao kai 	燒開	c=1 d=3.4088e-16 t=31439
shao nv 	少女	c=1 d=5.18438e-37 t=31439
shao shu min zu 	少數民族	c=1 d=0.00077318 t=31439
shao wei 	稍微	c=1 d=1.00324e-38 t=31439
she 	社	c=6 d=2.03538e-08 t=31439
she 	蛇	c=0 d=0.1 t=30299
she bao 	社保	c=7 d=9.25429e-07 t=31439
she bao ka 	社保卡	c=1 d=2.88088e-07 t=31439
she bei 	設備	c=6 d=0.00074396 t=31439
she chi 	奢侈	c=1 d=0.00311976 t=31439
she ding 	設定	c=1 d=3.92841e-38 t=31439
she ei re ai 	社誒熱愛	c=1 d=3.05944e-38 t=31439
she hui 	社會	c=12 d=0.0375095 t=31439
she ji 	設計	c=10 d=0.00458485 t=31439
she ji shi 	設計師	c=2 d=0.0871609 t=31439
she jiao 	社交	c=3 d=4.42865e-07 t=31439
she me 	什麼	c=52 d=0.0589378 t=31439
she qu 	社區	c=2 d=4.40658e-07 t=31439
she ru 	攝入	c=1 d=6.1198e-18 t=31439
she tu 	社圖	c=1 d=0.0309618 t=31439
she zhi 	設置	c=62 d=1.92996 t=31439
shen 	深	c=1 d=1 t=31431
shen 	神	c=6 d=2.39539 t=30977
shen bian 	身邊	c=1 d=4.24402e-06 t=31439
shen fen zheng 	身份證	c=4 d=0.018792 t=31439
shen he 	審覈	c=11 d=0.0163045 t=31439
shen jing 	神經	c=2 d=1.60505e-17 t=31439
shen me 	什麼	c=1 d=0.00096827 t=31439
shen qi 	神奇	c=6 d=0.00105569 t=31439
shen qing 	申請	c=12 d=0.00865169 t=31439
shen qing ren 	申請人	c=7 d=8.49996e-12 t=31439
shen ti 	審題	c=1 d=0.00484406 t=31439
shen wei 	身爲	c=1 d=5.32939e-38 t=31439
shen wu fen wen 	身無分文	c=1 d=2.46808e-11 t=31439
shen xian shi zu 	身先士卒	c=1 d=2.26033e-06 t=31439
shen yang 	瀋陽	c=2 d=7.36721e-15 t=31439
shen you 	神遊	c=1 d=5.24842e-05 t=31439
shen zhen 	深圳	c=10 d=0.0115624 t=31439
shen zhi 	深知	c=1 d=2.85271e-09 t=31439
shen zhou 	神舟	c=1 d=1.89287e-07 t=31439
shen zi 	身子	c=2 d=4.07899e-10 t=31439
sheng 	剩	c=3 d=2.49416e-17 t=31439
sheng 	昇	c=1 d=8.06953e-07 t=31439
sheng 	省	c=1 d=1 t=29824
sheng chan 	生產	c=1 d=9.57789e-23 t=31439
sheng cheng 	生成	c=19 d=0.569954 t=31439
sheng dian 	聖殿	c=1 d=4.54774e-25 t=31439
sheng hui 	省會	c=2 d=1.34139e-13 t=31439
sheng huo 	生活	c=7 d=0.00163436 t=31439
sheng ji 	升級	c=12 d=0.0335561 t=31439
sheng le 	生了	c=1 d=3.89818e-06 t=31439
sheng ming 	生命	c=4 d=0.0181334 t=31439
sheng ri 	生日	c=1 d=1 t=31272
sheng tai 	生態	c=1 d=6.01725e-25 t=31439
sheng wai 	省外	c=1 d=6.29956e-35 t=31439
sheng wen 	升溫	c=1 d=6.73541e-28 t=31439
sheng xiao 	生效	c=3 d=0.000171659 t=31439
sheng xu 	升序	c=2 d=4.70414e-11 t=31439
sheng yin 	聲音	c=1 d=3.32352e-12 t=31439
sheng yu 	剩餘	c=5 d=0.00135358 t=31439
sheng yu 	生育	c=2 d=9.34563e-06 t=31439
sheng zhang 	生長	c=1 d=5.14449e-05 t=31439
sheng zhi 	升職	c=1 d=1.27233e-10 t=31439
shi 	世	c=0 d=0.000179097 t=31439
shi 	事	c=11 d=0.000765486 t=31439
shi 	使	c=3 d=1.75186e-08 t=31439
shi 	十	c=3 d=5.09506e-09 t=31439
shi 	史	c=2 d=6.44291e-36 t=31439
shi 	屎	c=3 d=5.32773e-05 t=31439
shi 	市	c=2 d=3.27237e-06 t=31439
shi 	式	c=5 d=2.01456e-29 t=31439
shi 	是	c=345 d=2.30812 t=31439
shi 	時	c=21 d=0.059962 t=31439
shi 	試	c=9 d=5.54516e-06 t=31439
shi 	詩	c=1 d=1.19409e-28 t=31439
shi 	識	c=0 d=0.1 t=30898
shi bai 	失敗	c=29 d=0.00321615 t=31439
shi bie 	識別	c=2 d=7.35721e-08 t=31439
shi bu shi 	是不是	c=23 d=0.0601673 t=31439
shi cai 	食材	c=1 d=1.55726e-05 t=31439
shi chang 	市場	c=3 d=0.000558642 t=31439
shi da da 	溼答答	c=0 d=0.1 t=29780
shi da da sha 	溼答答啥	c=1 d=1 t=29781
shi da fu 	士大夫	c=0 d=2.81599e-34 t=31439
shi da fu shun dai jie fang lu 	士大夫順帶解放路	c=1 d=2.83009e-33 t=31439
shi dai 	世代	c=2 d=0.026054 t=31439
shi dai bian le 	世代變了	c=1 d=1 t=31171
shi de 	是的	c=4 d=5.40825e-05 t=31439
shi di 	溼地	c=1 d=0.00481991 t=31439
shi fang 	施放	c=2 d=2.01026e-09 t=31439
shi fei 	是非	c=1 d=2.76791e-07 t=31439
shi fou 	是否	c=53 d=0.0515545 t=31439
shi fu 	師傅	c=1 d=5.17468e-15 t=31439
shi gan 	事幹	c=1 d=1.14707e-26 t=31439
shi ge 	是個	c=1 d=1.46707e-09 t=31439
shi ge 	詩歌	c=1 d=0.247833 t=31439
shi guang 	時光	c=2 d=8.9629e-07 t=31439
shi guo 	試過	c=2 d=4.09094e-15 t=31439
shi he 	適合	c=2 d=3.64405e-07 t=31439
shi hou 	時候	c=63 d=0.540802 t=31439
shi ji 	實際	c=11 d=0.01111 t=31439
shi ji 	時機	c=1 d=1.7576e-17 t=31439
shi ji shang 	實際上	c=1 d=3.75492e-36 t=31439
shi ji zhi 	實際值	c=1 d=1 t=29650
shi jian 	事件	c=3 d=0.00101791 t=31439
shi jian 	時間	c=113 d=1.15644 t=31439
shi jian chuo 	時間戳	c=20 d=2.73852 t=31439
shi jie 	世界	c=12 d=0.00251621 t=31439
shi jie shang 	世界上	c=1 d=9.44685e-08 t=31439
shi jue 	視覺	c=1 d=0.000876126 t=31439
shi le yi ci 	試了一次	c=1 d=5.57296e-05 t=31439
shi li 	實例	c=1 d=3.40001e-15 t=31439
shi li 	示例	c=1 d=3.41705e-15 t=31439
shi li 	視力	c=1 d=1.36859e-15 t=31439
shi li hua 	實例化	c=3 d=7.91596e-08 t=31439
shi min 	市民	c=1 d=9.17543e-18 t=31439
shi ming 	實名	c=7 d=0.621885 t=31439
shi pei 	適配	c=4 d=5.06876e-07 t=31439
shi pin 	視頻	c=36 d=0.00644179 t=31439
shi pin 	食品	c=1 d=0.26054 t=31439
shi qing 	事情	c=12 d=0.0160027 t=31439
shi qu 	時區	c=1 d=2.00712e-20 t=31439
shi ren 	食人	c=13 d=6.16003e-36 t=31439
shi rong 	市容	c=1 d=0.197899 t=31439
shi sheng 	失聲	c=1 d=1 t=30302
shi shi 	實時	c=3 d=0.798516 t=31439
shi shi 	試試	c=1 d=0.000111666 t=31439
shi tai 	事態	c=3 d=2.63933e-25 t=31439
shi tai yan liang 	世態炎涼	c=1 d=1.14275e-11 t=31439
shi tou 	石頭	c=1 d=0.00814785 t=31439
shi wang 	失望	c=1 d=1.98648e-16 t=31439
shi wo 	是我	c=4 d=0.438235 t=31439
shi wu 	事務	c=3 d=0.000270077 t=31439
shi wu 	事物	c=2 d=0.00050296 t=31439
shi wu 	實物	c=1 d=0.000590229 t=31439
shi wu suo 	事務所	c=1 d=3.00561e-35 t=31439
shi xi 	實習	c=5 d=5.25468e-19 t=31439
shi xi sheng 	實習生	c=1 d=7.50965e-14 t=31439
shi xian 	實現	c=5 d=2.06221e-15 t=31439
shi xiang 	事項	c=3 d=6.04285e-13 t=31439
shi xiao 	失效	c=1 d=5.83343e-13 t=31439
shi yan 	實驗	c=1 d=0.000699601 t=31439
shi yan 	食言	c=1 d=7.1966e-13 t=31439
shi yao 	是要	c=2 d=1.09492e-08 t=31439
shi ye 	事業	c=1 d=2.6324e-34 t=31439
shi ye 	失業	c=1 d=1.44248e-16 t=31439
shi yi 	事宜	c=1 d=1.13411e-10 t=31439
shi yi 	十一	c=6 d=0.0833256 t=31439
shi yi shi 	試一試	c=2 d=2.49246e-09 t=31439
shi ying 	適應	c=6 d=0.0253455 t=31439
shi yong 	使用	c=28 d=0.36648 t=31439
shi yong qi 	試用期	c=3 d=3.61713e-08 t=31439
shi yun 	時運	c=1 d=2.405e-30 t=31439
shi zai 	實在	c=3 d=9.14555e-09 t=31439
shi zhe 	試着	c=1 d=5.26289e-08 t=31439
shi zhe an xi 	逝者安息	c=1 d=1 t=28988
shou 	壽	c=1 d=1 t=31304
shou 	手	c=7 d=0.0735345 t=31439
shou 	收	c=19 d=0.0270518 t=31439
shou bu liao 	受不了	c=1 d=9.5194e-15 t=31439
shou bu liao ni 	受不了你	c=1 d=5.67569e-14 t=31439
shou cang 	收藏	c=6 d=4.38459e-07 t=31439
shou da 	手大	c=1 d=1 t=31137
shou dao 	受到	c=1 d=6.51948e-27 t=31439
shou dao 	收到	c=12 d=1.00808e-08 t=31439
shou dong 	手動	c=2 d=0.000167421 t=31439
shou duan 	手段	c=1 d=1.39765e-27 t=31439
shou fa 	首發	c=2 d=2.77468e-33 t=31439
shou fu 	首付	c=1 d=2.26072e-08 t=31439
shou gong 	手工	c=1 d=1.12865e-12 t=31439
shou gong 	收工	c=2 d=6.77633e-11 t=31439
shou guo 	受過	c=1 d=2.67956e-37 t=31439
shou hai zhe 	受害者	c=1 d=1 t=29663
shou hou 	售後	c=2 d=7.50713e-10 t=31439
shou hu 	守護	c=1 d=1.04924e-36 t=31439
shou ji 	手機	c=50 d=1.43129 t=31439
shou ji hao 	手機號	c=19 d=0.362452 t=31439
shou ji hao ma 	手機號碼	c=1 d=2.81014e-38 t=31439
shou mai 	售賣	c=1 d=1.41218e-31 t=31439
shou qian 	收錢	c=2 d=1.70861e-08 t=31439
shou quan 	授權	c=3 d=4.3967e-10 t=31439
shou ru 	收入	c=1 d=6.95379e-21 t=31439
shou shang 	手上	c=4 d=0.00660453 t=31439
shou shi 	手勢	c=1 d=6.98269e-11 t=31439
shou su 	手速	c=1 d=0.00711892 t=31439
shou tou 	手頭	c=3 d=5.14545e-26 t=31439
shou wang zhe 	守望者	c=1 d=0.00265848 t=31439
shou xie 	手寫	c=7 d=0.00180897 t=31439
shou xu 	手續	c=1 d=1.625e-06 t=31439
shou xu fei 	手續費	c=4 d=1.15308e-05 t=31439
shou ye 	首頁	c=3 d=0.000293099 t=31439
shou yi 	收益	c=3 d=0.00134012 t=31439
shou zhi 	手指	c=1 d=2.03995e-05 t=31439
shou zhi 	收支	c=4 d=1.74491e-20 t=31439
shou zhong 	手中	c=1 d=5.49371e-13 t=31439
shou zhua fan 	手抓饭	c=1 d=8.06927e-36 t=31439
shu 	數	c=24 d=0.0483644 t=31439
shu 	書	c=3 d=2.64611e-07 t=31439
shu 	樹	c=14 d=0.310643 t=31439
shu 	述	c=1 d=1 t=29255
shu biao 	鼠標	c=11 d=0.0880368 t=31439
shu chu 	輸出	c=13 d=0.00373599 t=31439
shu fu 	舒服	c=2 d=0.226502 t=31439
shu ju 	數據	c=81 d=1.85011 t=31439
shu ju ku 	數據庫	c=19 d=0.0457762 t=31439
shu ju liang 	數據量	c=2 d=0.0222592 t=31439
shu ju tong ji 	數據統計	c=1 d=2.77461e-06 t=31439
shu kou 	漱口	c=1 d=0.0224829 t=31439
shu le 	輸了	c=1 d=5.5241e-19 t=31439
shu liang 	數量	c=12 d=0.00681706 t=31439
shu ma 	數碼	c=1 d=0.00051312 t=31439
shu qian 	書籤	c=2 d=0.00126207 t=31439
shu ren 	熟人	c=2 d=0.0682212 t=31439
shu ru 	輸入	c=21 d=0.000368917 t=31439
shu ru fa 	輸入法	c=5 d=0.873716 t=31439
shu shi 	舒適	c=1 d=1.12436e-26 t=31439
shu xi 	熟悉	c=3 d=1.07936e-16 t=31439
shu xing 	屬性	c=18 d=1.57779e-12 t=31439
shu xue 	數學	c=1 d=4.84571e-07 t=31439
shu yu 	屬於	c=1 d=6.11338e-35 t=31439
shu zhe 	豎着	c=1 d=6.72855e-16 t=31439
shu zhi 	數值	c=2 d=1.03347e-05 t=31439
shu zi 	數字	c=4 d=5.27743e-11 t=31439
shu zu 	數組	c=42 d=1.97897e-05 t=31439
shua 	刷	c=3 d=0.0129275 t=31439
shua xin 	刷新	c=12 d=0.0472705 t=31439
shua ya 	刷牙	c=1 d=4.69435e-16 t=31439
shuai 	甩	c=1 d=1 t=30070
shuang 	爽	c=3 d=0.639711 t=31439
shuang 	雙	c=3 d=2.25488e-07 t=31439
shuang bei 	雙倍	c=4 d=0.00127835 t=31439
shuang ji 	雙擊	c=1 d=3.72728e-08 t=31439
shuang qin 	雙親	c=1 d=0.00159641 t=31439
shuang shi yi 	雙十一	c=1 d=6.75883e-10 t=31439
shuang zi 	雙子	c=2 d=5.50513e-08 t=31439
shui 	水	c=9 d=0.0139122 t=31439
shui 	睡	c=3 d=0.0377544 t=31439
shui 	稅	c=2 d=1.49437e-20 t=31439
shui 	誰	c=9 d=0.554327 t=31439
shui bei 	水杯	c=1 d=7.89605e-16 t=31439
shui dao 	水稻	c=1 d=2.82229e-30 t=31439
shui jiao 	睡覺	c=9 d=0.000747063 t=31439
shui ku 	水庫	c=1 d=4.14276e-16 t=31439
shui mian 	睡眠	c=1 d=5.5222e-15 t=31439
shui ping 	水平	c=4 d=1.2384e-07 t=31439
shui shou 	稅收	c=1 d=2.6157e-18 t=31439
shui wu jiao 	睡午覺	c=1 d=8.04023e-23 t=31439
shui wu ju 	稅務局	c=1 d=5.4682e-17 t=31439
shui xing 	水星	c=1 d=1.06513e-07 t=31439
shui yin 	水印	c=1 d=1 t=30086
shui zhao 	睡着	c=1 d=2.39431e-07 t=31439
shui zheng qi 	水蒸氣	c=1 d=9.85781e-09 t=31439
shui zhi 	水質	c=1 d=0.00484406 t=31439
shun bian 	順便	c=1 d=6.1292e-36 t=31439
shun dai 	順帶	c=5 d=4.03787e-14 t=31439
shun jian 	瞬間	c=1 d=1 t=29660
shun xu 	順序	c=1 d=3.94809e-38 t=31439
shuo 	說	c=38 d=0.906027 t=31439
shuo ba 	說吧	c=1 d=0.0564161 t=31439
shuo bai 	說白	c=1 d=4.89608e-11 t=31439
shuo bai le 	說白了	c=1 d=1 t=28690
shuo ci 	說辭	c=2 d=4.51026e-08 t=31439
shuo de 	說的	c=1 d=6.52285e-33 t=31439
shuo hao 	說好	c=1 d=6.50819e-36 t=31439
shuo le 	說了	c=3 d=1.74288e-06 t=31439
shuo ming 	說明	c=6 d=3.23065e-05 t=31439
shuo xiao 	說笑	c=1 d=1.57612e-29 t=31439
shuo yi sheng 	說一聲	c=1 d=2.85911e-06 t=31439
shuo yi xia 	說一下	c=2 d=2.74039e-07 t=31439
si 	四	c=2 d=7.08703e-09 t=31439
si 	死	c=6 d=0.000976907 t=31439
si chuan 	四川	c=2 d=1.15332e-28 t=31439
si fa 	私法	c=4 d=8.14925e-05 t=31439
si ge 	四個	c=1 d=4.03773e-08 t=31439
si ge yue 	四個月	c=1 d=1.13705e-11 t=31439
si ji 	司機	c=1 d=5.4193e-29 t=31439
si le 	死了	c=3 d=2.11844e-08 t=31439
si lu 	思路	c=1 d=1.33271e-26 t=31439
si ma 	司馬	c=1 d=0.000117391 t=31439
si mi 	私密	c=1 d=6.26939e-08 t=31439
si pian 	四篇	c=1 d=1 t=30372
si she wu ru 	四捨五入	c=1 d=1 t=29319
si tu 	司徒	c=1 d=3.18821e-23 t=31439
si xia 	私下	c=2 d=6.97914e-05 t=31439
si xiang 	思想	c=1 d=1.96979e-05 t=31439
si xing 	四星	c=1 d=0.000120363 t=31439
si you 	私有	c=1 d=1.55377e-08 t=31439
song 	慫	c=2 d=6.16115e-09 t=31439
song 	松	c=1 d=1 t=29469
song 	送	c=14 d=1.44159 t=31439
song zang 	送葬	c=1 d=0.0081887 t=31439
sou 	搜	c=7 d=0.000405659 t=31439
sou gou 	搜狗	c=3 d=0.904837 t=31439
sou le 	搜了	c=1 d=1 t=29241
sou suo 	搜索	c=35 d=0.632464 t=31439
su 	蘇	c=1 d=1 t=30540
su du 	速度	c=6 d=0.000285862 t=31439
su liao 	塑料	c=1 d=1.82777e-07 t=31439
su lv 	速率	c=3 d=4.79277e-37 t=31439
su ning 	蘇寧	c=5 d=0.000200055 t=31439
su she 	宿舍	c=3 d=1.31354e-20 t=31439
su zu 	数组	c=1 d=2.08541e-29 t=31439
suan 	算	c=18 d=0.000481797 t=31439
suan 	酸	c=1 d=2.07078e-05 t=31439
suan fa 	算法	c=2 d=0.00301245 t=31439
suan le 	算了	c=4 d=0.104874 t=31439
suan ming 	算命	c=1 d=2.64657e-09 t=31439
suan qi 	算起	c=1 d=3.0291e-09 t=31439
sui 	歲	c=1 d=0.0015415 t=31439
sui 	碎	c=1 d=4.10865e-07 t=31439
sui 	遂	c=1 d=2.76218e-12 t=31439
sui bian 	隨便	c=2 d=0.0188734 t=31439
sui dao 	隧道	c=1 d=1 t=29840
sui hou 	隨後	c=3 d=2.98914e-12 t=31439
sui ji 	隨機	c=3 d=6.54104e-07 t=31439
sui ran 	雖然	c=6 d=4.50799e-10 t=31439
sui shi 	隨時	c=1 d=4.57441e-35 t=31439
sui yi 	隨意	c=1 d=5.7693e-30 t=31439
sun huai 	損壞	c=8 d=0.0204936 t=31439
suo 	所	c=1 d=0.0065062 t=31439
suo 	索	c=1 d=1 t=28467
suo 	縮	c=1 d=1 t=29516
suo 	鎖	c=1 d=1 t=29517
suo ding 	鎖定	c=1 d=2.66944e-22 t=31439
suo duan 	縮短	c=1 d=1 t=29795
suo fang 	縮放	c=1 d=1.05597e-23 t=31439
suo hou 	鎖喉	c=1 d=1 t=29386
suo jin 	縮進	c=1 d=1.48282e-17 t=31439
suo long 	索隆	c=1 d=1 t=28476
suo pei 	索賠	c=1 d=0.000808766 t=31439
suo xiao 	縮小	c=1 d=1.88375e-09 t=31439
suo yi 	所以	c=30 d=0.563999 t=31439
suo yin 	索引	c=4 d=0.000207579 t=31439
